Fitness Score,Car Position
634.9635128245999,"(3, 20)"
634.691522728907,"(44, 22)"
634.6773842602308,"(3, 20)"
634.6505086800094,"(43, 22)"
634.611420228724,"(42, 22)"
634.5095422672866,"(42, 22)"
634.434771224349,"(4, 20)"
634.4318509393532,"(41, 22)"
634.326324276498,"(24, 21)"
634.253178124168,"(4, 20)"
634.2214867107637,"(24, 21)"
634.1424471426812,"(21, 21)"
634.1180530158948,"(23, 21)"
634.0835197918456,"(22, 21)"
634.069443955186,"(22, 21)"
565.026016270601,"(97, 19)"
564.710038487804,"(97, 19)"
564.3671917251359,"(97, 19)"
564.3252631041522,"(90, 18)"
564.3095331827494,"(90, 18)"
564.2821918112221,"(89, 18)"
564.2272675845214,"(75, 17)"
564.1877936367752,"(88, 18)"
564.104498546277,"(98, 19)"
564.0622281955191,"(88, 18)"
564.0440784612302,"(76, 17)"
563.9351670745858,"(87, 18)"
563.8844515143205,"(98, 19)"
563.8240757836777,"(76, 17)"
563.8014514562468,"(86, 18)"
563.7444849277562,"(99, 19)"
563.704463633686,"(86, 18)"
563.6238813485808,"(85, 18)"
563.6176865851712,"(99, 19)"
563.5674316419976,"(85, 18)"
563.5642072856331,"(84, 18)"
563.552472772091,"(84, 18)"
563.5141045472586,"(77, 17)"
563.1442908138118,"(77, 17)"
562.7531270677052,"(78, 17)"
562.2845513756226,"(78, 17)"
561.6807587027088,"(97, 19)"
561.3729281118292,"(97, 19)"
561.0605200020822,"(81, 18)"
560.8378070803425,"(82, 18)"
560.6371018997064,"(82, 18)"
560.4959815274541,"(83, 18)"
560.3841794556023,"(67, 17)"
560.3031279110706,"(68, 17)"
560.2158153701313,"(68, 17)"
560.1508884304183,"(69, 17)"
557.2719243021846,"(13, 21)"
556.8695094785562,"(13, 21)"
556.5065633326998,"(97, 19)"
556.1983120916107,"(98, 19)"
555.908817040426,"(98, 19)"
555.6420271551079,"(98, 19)"
555.4409394464068,"(99, 19)"
555.2787806089523,"(99, 19)"
555.1154871087183,"(2, 20)"
555.1141086310615,"(99, 19)"
555.0474035240287,"(2, 20)"
555.0358358237545,"(0, 20)"
554.9884696670188,"(1, 20)"
554.9765379229804,"(0, 20)"
554.9631924285331,"(1, 20)"
526.0746235374269,"(61, 17)"
526.0576147764168,"(61, 17)"
526.0291549689296,"(77, 18)"
525.9027388063105,"(93, 19)"
525.8591664421747,"(63, 17)"
525.7714278387269,"(8, 21)"
525.6912978268291,"(24, 22)"
525.6889837781514,"(61, 17)"
525.5877873272026,"(40, 23)"
525.4773329434811,"(56, 24)"
525.4553410103933,"(79, 18)"
525.4406887402004,"(62, 17)"
525.3936820330141,"(77, 18)"
525.3287598068121,"(78, 18)"
525.2145561674366,"(77, 18)"
525.094819296656,"(93, 19)"
525.0829627927119,"(93, 19)"
525.054739269818,"(94, 19)"
524.9321362389862,"(9, 21)"
524.8078511041685,"(62, 17)"
524.7904888856266,"(24, 22)"
524.7433905506881,"(9, 21)"
524.7094333229779,"(40, 23)"
524.642395700958,"(56, 24)"
