         209934051 function calls (209927758 primitive calls) in 62.202 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      899    0.021    0.000   60.741    0.068 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\game\game.py:61(update)
      899    9.825    0.011   56.464    0.063 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\engine.py:31(update)
  7930079    6.279    0.000   19.273    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\managers\render_manager\renderer.py:49(update)
  7925584    5.851    0.000   11.273    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\managers\render_manager\renderer.py:73(add_to_background_batch)
  7930079    8.282    0.000   11.205    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\entities\entity.py:53(get_rect_with_transform)
  7930079    3.375    0.000    4.648    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\managers\physics_manager\physics_manager.py:39(get_next_transform_and_physics)
      899    2.047    0.002    4.518    0.005 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\game\camera.py:31(update)
  7950751    4.191    0.000    4.191    0.000 {method 'blit' of 'pygame.Surface' objects}
      899    0.028    0.000    4.158    0.005 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\game\game_state\field_of_view.py:31(update)
     1798    0.695    0.000    4.010    0.002 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\game\map\tile_map.py:122(get_tiles_within_square)
      899    0.004    0.000    3.264    0.004 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\game\game_state\field_of_view.py:38(_get_field_of_view)
      899    0.003    0.000    2.898    0.003 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\managers\input_manager\input_manager.py:11(update)
      899    2.895    0.003    2.895    0.003 {built-in method pygame.event.get}
  7930079    2.374    0.000    2.798    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\components\collider.py:17(__init__)
 32556154    2.272    0.000    2.272    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\entities\entity.py:83(get_transform)
   647280    1.323    0.000    2.021    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\game\map\tile_map.py:180(_point_in_polygon)
  7905416    1.574    0.000    1.924    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\components\transform.py:26(displace)
 24690068    1.738    0.000    1.738    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\components\transform.py:31(get_position)
      899    0.014    0.000    1.433    0.002 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\engine.py:53(render)
 15855663    1.156    0.000    1.156    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\entities\entity.py:73(get_sprite)
 15883537    1.142    0.000    1.142    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\entities\entity.py:67(is_batched)
      899    0.169    0.000    0.847    0.001 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\game\map\tile_map.py:144(_order_tiles)
      899    0.003    0.000    0.795    0.001 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\game\game_state\field_of_view.py:51(_get_checkpoint_activation_area)
 15868760    0.776    0.000    0.776    0.000 {built-in method builtins.isinstance}
  7944463    0.723    0.000    0.723    0.000 {method 'get_width' of 'pygame.Surface' objects}
  7930079    0.654    0.000    0.654    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\entities\entity.py:95(has_collider)
  7933479    0.652    0.000    0.652    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\entities\entity.py:89(get_physics)
  7934574    0.593    0.000    0.593    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\entities\entity.py:39(is_static)
   133236    0.051    0.000    0.585    0.000 <__array_function__ internals>:177(dot)
      899    0.005    0.000    0.524    0.001 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\managers\render_manager\renderer.py:21(render)
   133236    0.520    0.000    0.520    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  7944463    0.495    0.000    0.495    0.000 {method 'get_height' of 'pygame.Surface' objects}
  3236851    0.355    0.000    0.355    0.000 {built-in method builtins.min}
      899    0.002    0.000    0.334    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\managers\window_manager\window_manager.py:37(swap_buffers)
      899    0.332    0.000    0.332    0.000 {built-in method pygame.display.flip}
  2922716    0.304    0.000    0.304    0.000 {built-in method builtins.max}
      899    0.004    0.000    0.298    0.000 C:\Users\Nuria\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:529(update)
     4490    0.004    0.000    0.293    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\components\sprite.py:26(update)
     4490    0.021    0.000    0.289    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\components\sprite.py:32(apply_transform)
      899    0.001    0.000    0.260    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\managers\render_manager\renderer.py:31(render_background_batch)
     3595    0.197    0.000    0.197    0.000 {method 'index' of 'list' objects}
     1798    0.009    0.000    0.194    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\game\map\tile_map.py:86(_get_closest_tile_knowing_previous)
     1798    0.187    0.000    0.187    0.000 {method 'fill' of 'pygame.Surface' objects}
      899    0.004    0.000    0.166    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\game\game.py:151(game_render)
      899    0.040    0.000    0.163    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\game\game.py:247(_render_checkpoints)
     4490    0.159    0.000    0.159    0.000 {built-in method pygame.transform.scale}
     1797    0.017    0.000    0.149    0.000 C:\Uni\2� cuatri\TFG\0.Repositorio\0.TFG\TFG\game\map\tile_map.py:106(_get_adjacent_tiles)
      899    0.008    0.000    0.133    0.000 C:\Users\Nuria\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:842(draw)
